p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CREB3L2	8.77138526630248e-76	0.104962271085339	0.134	0.069	3.04533725060756e-71
CREG1	3.47128276681628e-52	0.0906810529785883	0.243	0.17	1.20519466381095e-47
CRELD1	5.52166826773234e-14	0.0303189718211272	0.117	0.09	1.91706800587399e-09
CRELD2	6.57255987718157e-79	0.114843917185347	0.161	0.088	2.28192706375867e-74
CRIM1	1.18286572415177e-34	-0.114065728143702	0.259	0.313	4.10679150768252e-30
CRLS1	1.77986767852564e-22	0.0535448653118302	0.268	0.219	6.17952259307317e-18
CRTAP	0.03455671032879	0.00204563764203272	0.138	0.129	1
CRYAB	0	-0.5080439506808	0.077	0.333	0
CS	0.120972457765173	0.00221624879435725	0.123	0.117	1
CSF1	8.28892709636097e-74	-0.125244404606801	0.064	0.117	2.87783259858556e-69
CSNK1A1	0	0.43956059956054	0.6	0.327	0
CST3	0	1.02347624265058	0.947	0.89	0
CTDNEP1	1.31136607415559e-06	0.0134385608586571	0.218	0.193	0.0455293187286079
CTRB1	0	-2.82777218874754	0.112	0.869	0
CTRB2	0	-1.75177246947109	0.17	0.81	0
CTSA	0	0.359634760174019	0.408	0.203	0
CTSC	0	0.555623061290758	0.371	0.099	0
CTSD	0	0.665629586763377	0.816	0.586	0
CTSL	0	-0.372274829037876	0.244	0.45	0
CUTA	2.81183500230025e-46	-0.134140157056209	0.637	0.664	9.76240994448625e-42
CUX1	1.72427561255388e-192	0.20561072639331	0.275	0.136	5.98651249922582e-188
CUZD1	0	-0.376567844341401	0.038	0.192	0
CX3CL1	3.02417274496812e-08	-0.0287524547269753	0.099	0.117	0.00104996253532548
CXADR	5.69699453475657e-36	0.11644806891918	0.509	0.437	1.97793953252213e-31
CXCL16	0	0.345055607195513	0.383	0.151	0
CXCR4	6.40468700416449e-168	0.559422479976719	0.21	0.093	2.22364328097587e-163
CYB561	6.32400444034844e-80	0.121024203668873	0.224	0.14	2.19563110164457e-75
CYB561D2	0.0166579971472427	0.00668526835982583	0.119	0.11	1
CYB5A	0	-0.645861061733341	0.53	0.796	0
CYB5B	1.82384048574179e-99	0.144606063648753	0.302	0.196	6.33219178244693e-95
CYB5D2	6.6663135936592e-60	-0.0641195900240441	0.068	0.118	2.31447741658254e-55
CYB5R1	7.20709726011639e-05	-0.0281257671327552	0.163	0.179	1
CYBA	0	0.78626257216758	0.865	0.73	0
CYHR1	1.29013435626879e-06	-0.0587244874994877	0.288	0.305	0.0447921747152962
CYP2S1	0	0.304436284013024	0.189	0.008	0
CYP3A5	0	0.971009863930052	0.597	0.247	0
CYP4F3	0	0.274317468862502	0.163	0.003	0
CYP4V2	7.08741928041369e-165	-0.161290259073006	0.104	0.205	2.46068109996683e-160
CYP51A1	3.42684684253931e-184	0.190972462832303	0.12	0.027	1.18976695526122e-179
CYTH1	3.0706064666591e-171	0.169755829040699	0.191	0.077	1.06608385915937e-166
DAD1	1.53764483852133e-83	0.1929377456714	0.787	0.677	5.33854911486221e-79
DAG1	9.55154568878702e-199	0.212150656752136	0.286	0.143	3.31620114768997e-194
DAPK1	3.36500770490633e-05	0.0270086673961972	0.177	0.159	1
DAPK3	5.10664953016564e-05	-0.048346081114357	0.163	0.177	1
DAPL1	0	-0.553191733793783	0.055	0.353	0
DCBLD2	1.80387147075406e-21	0.197433400312155	0.14	0.108	6.26286135931101e-17
DCN	1.18894613139748e-29	0.155012338882157	0.127	0.089	4.12790207359891e-25
DDOST	2.35740358460208e-26	0.0559510652305875	0.363	0.299	8.18466950537997e-22
DDR1	5.58788914030494e-174	0.225002606947918	0.451	0.299	1.94005923062247e-169
DDRGK1	9.30505874719874e-47	0.0840396262830712	0.374	0.291	3.23062334643993e-42
DEGS1	3.3508441656904e-80	0.114746081503476	0.174	0.098	1.16337958588605e-75
DEGS2	5.1830387993816e-90	0.162276315786741	0.174	0.096	1.7994992407573e-85
DENND1B	6.56237423432331e-25	0.0591745933339261	0.138	0.1	2.27839071041471e-20
DENND4C	6.97529600824825e-17	0.0434247660051525	0.134	0.103	2.42175302110371e-12
DERL1	5.52175769784134e-94	0.132757098433214	0.298	0.194	1.91709905511354e-89
DERL2	9.83010817929236e-49	-0.106469300540279	0.179	0.24	3.41291525876851e-44
DEXI	0.173901617949016	-0.0128209156415522	0.097	0.101	1
DGAT1	0	0.287887129978422	0.245	0.054	0
DGCR2	2.45438253053904e-07	0.0176776642027887	0.173	0.15	0.00852137070777848
DHCR24	0	0.315932196036616	0.288	0.098	0
DHCR7	4.70517098255661e-189	0.173007329831137	0.128	0.031	1.63358831343383e-184
DHRS3	7.53747141097619e-125	0.203105169469792	0.352	0.232	2.61693469917682e-120
DHRS7	6.01655810409514e-141	-0.291163670284536	0.448	0.538	2.08888880816079e-136
DHRS7B	1.21714989223145e-230	-0.184480479566197	0.09	0.205	4.22582271083836e-226
DHX36	1.01924415244598e-34	0.100702139759008	0.312	0.249	3.53871377287719e-30
DIP2A	1.11489395974056e-76	0.108419293201635	0.14	0.074	3.87080033882326e-72
DIRC2	1.14483490884452e-17	-0.0399119342933915	0.079	0.105	3.9747523200173e-13
DLK1	0	-0.4713461290779	0.005	0.12	0
DMTF1	0.00254498653391778	0.0132058010743309	0.123	0.112	1
DNAJB11	2.50970483857716e-174	0.213071917511357	0.363	0.216	8.71344422905604e-170
DNAJB12	5.4341356713395e-14	0.0453097220048008	0.165	0.135	1.88667756373236e-09
DNAJB14	3.43777015448269e-69	0.111280280840403	0.215	0.138	1.19355941993485e-64
DNAJB9	6.75153085284588e-63	0.150114695005226	0.223	0.15	2.34406399679956e-58
DNAJC10	2.16072365573714e-276	0.278216036255391	0.29	0.123	7.50181646035379e-272
DNAJC1	2.82934947620442e-93	0.150043717453023	0.291	0.193	9.82321844643412e-89
DNAJC11	8.09465287866944e-06	0.0145972833995298	0.105	0.09	0.281038253294524
DNAJC13	2.47881173941473e-104	0.110057033483044	0.118	0.047	8.60618647807401e-100
DNAJC15	2.01840918141282e-76	0.179163908995582	0.496	0.396	7.00771483694717e-72
DNAJC19	0.9690300864194	-0.0344589453258433	0.365	0.35	1
DNAJC30	2.69584527357683e-41	-0.0766659705879726	0.099	0.144	9.35970520533138e-37
DNAJC4	2.1471124171616e-09	0.033528882287378	0.237	0.208	7.45455960114336e-05
DNAJC5	5.46581911186452e-74	0.0985617712252143	0.169	0.097	1.89767773744824e-69
DNASE1L1	3.19031810834185e-175	0.129053580940101	0.11	0.023	1.10764654403521e-170
DNPEP	2.06538521521376e-43	0.0798296518875176	0.21	0.149	7.17081092870066e-39
DPAGT1	2.91694960940918e-17	0.0369532954958039	0.112	0.084	1.01273573489077e-12
DPCR1	0	1.02890081855204	0.212	0.001	0
DPM2	3.68093713521066e-34	0.058095381111133	0.218	0.161	1.27798456397379e-29
DPM3	1.77784155106345e-06	-0.0608444736444483	0.371	0.385	0.0617248808113719
DPP4	2.74642621661922e-170	0.147500956216459	0.113	0.026	9.53531718148025e-166
DPP7	8.22502344227797e-98	-0.203992402122426	0.347	0.439	2.85564588892449e-93
DPP8	3.3290738604853e-46	0.0751231745120469	0.149	0.095	1.15582115362189e-41
DPY19L1	3.51559687849253e-153	0.127439305072374	0.124	0.036	1.22058008024382e-148
DPY19L4	5.43213396566562e-07	0.0209780735632216	0.102	0.085	0.0188598259153945
DRAM2	7.19618471193684e-08	0.0199098697254353	0.226	0.199	0.00249844337013735
DSC2	1.29332428244779e-161	0.236242695818826	0.261	0.138	4.49029257623047e-157
DSEL	8.83921556545255e-118	-0.109942806920639	0.056	0.123	3.06888725216947e-113
DSG2	0	0.664577452534847	0.61	0.376	0
DUOX2	0	0.78890588105165	0.278	0.043	0
DUOXA2	1.078211953979e-295	0.628036751946511	0.179	0.037	3.7434440830197e-291
DYNC2H1	9.22643644040447e-35	0.08804108219475	0.134	0.091	3.20332646774403e-30
DYRK2	3.62596423548182e-62	0.093387191587377	0.149	0.087	1.25889852291693e-57
EBP	4.61820636967085e-140	0.215033767207386	0.301	0.181	1.60339506948602e-135
EBPL	1.46150217355888e-159	-0.253201498456538	0.312	0.432	5.07418939637907e-155
ECE1	6.38254162240503e-156	0.170438981548024	0.212	0.099	2.2159546258828e-151
ECM1	0	0.564160898650896	0.185	0.006	0
EDEM1	1.05358471460496e-72	0.0906012189144382	0.113	0.054	3.65794077063697e-68
EDEM3	0	0.266055606092261	0.252	0.083	0
EEF1A1	0	-0.387896084785556	1	1	0
EEF1D	5.65168512227331e-14	0.121374165816403	0.964	0.96	1.96220855760207e-09
EEF1E1	1.08059393545952e-14	-0.0610781016192694	0.181	0.212	3.75171408452192e-10
EFCAB14	2.22435734933476e-168	0.197122671004067	0.331	0.191	7.72274628115537e-164
EFEMP1	1.24898094015583e-115	-0.0984992843730965	0.05	0.114	4.33633692612704e-111
EFNA1	1.41883980659399e-232	0.367984293567964	0.436	0.272	4.92606992451367e-228
EFNA4	6.62165565027855e-103	0.101015170756209	0.113	0.044	2.29897262522021e-98
EFNA5	0	0.326967096199731	0.217	0.005	0
EFNB1	0	0.305011645535427	0.252	0.047	0
EFNB2	0	0.317593863327788	0.245	0.074	0
EGFR	8.96370958911916e-32	0.0814141847018706	0.207	0.157	3.11211033224628e-27
EI24	4.02268480963739e-41	0.0853118749156787	0.451	0.369	1.39663593905801e-36
EIF3L	0	-0.438989585581696	0.419	0.605	0
ELOVL1	1.17606527852431e-260	0.228695549190366	0.281	0.117	4.08318104050855e-256
ELOVL5	4.66980326889464e-50	0.0869364315666517	0.141	0.086	1.62130899692753e-45
ELP6	6.83681652595818e-70	-0.0911316758626507	0.081	0.138	2.37367432964742e-65
EMB	0	0.270546222277135	0.161	0.006	0
EMC10	2.1961367792136e-33	0.086881065291535	0.331	0.268	7.62476728375171e-29
EMC3	1.16511634562637e-14	0.0394398950832748	0.302	0.259	4.04516744038019e-10
EMC4	1.5436933424543e-17	0.0432456172264412	0.404	0.347	5.3595489156671e-13
EMC6	1.09752947789511e-25	-0.108823027430781	0.254	0.296	3.81051259430402e-21
EMC7	3.02021533531318e-71	0.12086534332519	0.378	0.278	1.04858856226738e-66
EMD	5.44906811386922e-05	0.0131270527411653	0.217	0.196	1
EML2	5.19688526056685e-08	0.029453320609637	0.159	0.137	0.0018043065936162
EMP1	0	0.383768917716612	0.324	0.13	0
EMP2	0	0.539666588260071	0.409	0.086	0
EMP3	8.04453156246893e-89	0.245063146020963	0.265	0.17	2.79298091317359e-84
ENDOD1	3.63659105170331e-255	0.196075689880407	0.17	0.041	1.26258804724087e-250
ENO1	5.35345491751439e-209	0.536362621810219	0.763	0.634	1.85866601281182e-204
ENPP4	2.8147263946675e-20	0.0469748187933625	0.116	0.085	9.77244856964609e-16
ENPP5	3.14856162899946e-176	-0.112560045346948	0.041	0.115	1.09314911197232e-171
ENTPD2	8.2653832233091e-252	0.169383214473369	0.135	0.021	2.86965840130069e-247
ENTPD4	4.04031198179812e-56	0.0750596179173212	0.104	0.054	1.40275591696049e-51
ENTPD6	7.5042699480618e-51	0.0825003051479876	0.183	0.121	2.60540748326757e-46
EPCAM	1.76658762161134e-108	0.340219859215487	0.843	0.804	6.13341556347243e-104
EPDR1	1.55148827437717e-87	0.106781135087353	0.13	0.062	5.38661213981011e-83
EPHA2	1.44269518887944e-47	0.0544630909653562	0.33	0.247	5.00889342627053e-43
EPHB4	1.69665003594775e-144	0.145945270069303	0.171	0.072	5.890599259807e-140
EPHB6	0	-0.545896833025656	0.104	0.41	0
EPSTI1	0	0.368957194756699	0.271	0.071	0
ERAP1	1.48834141810334e-67	0.084878885411087	0.12	0.061	5.16737256951299e-63
ERAP2	1.11272133548712e-225	0.191094207960885	0.164	0.044	3.86325720467774e-221
ERBB2	2.52621017562198e-189	0.274460662973591	0.385	0.237	8.77074910874196e-185
ERBB3	0	0.552126503162269	0.547	0.282	0
ERGIC1	9.63374796791267e-11	0.0268873018871005	0.382	0.338	3.3447409569796e-06
ERGIC2	6.48079108665445e-26	0.0594142278265012	0.27	0.216	2.25006585737556e-21
ERGIC3	5.91266071248737e-17	-0.112309374429024	0.527	0.533	2.05281667276849e-12
ERN2	0	0.290589939539553	0.19	0.005	0
ERO1L	0	1.00614681286119	0.447	0.125	0
ERO1LB	0	-0.192594186266301	0.044	0.171	0
ERP29	2.76728837481877e-117	-0.254844664247962	0.572	0.621	9.60774850853327e-113
ESYT1	0.117218389317549	-0.00932216459415194	0.101	0.106	1
ESYT2	0	0.265881414794482	0.268	0.092	0
ETNK1	0	0.36947000043567	0.401	0.18	0
EVA1C	1.00926383034548e-05	0.017037892413046	0.123	0.107	0.350406309257646
EVI5	1.08612881341285e-100	0.125000560235876	0.18	0.094	3.77093062728806e-96
EXT1	5.57766177897928e-13	0.034962697782357	0.171	0.14	1.93650839304382e-08
F11R	0	0.456804801097902	0.486	0.223	0
F2RL1	3.1444771285254e-09	0.0528432052180886	0.323	0.293	0.000109173101425273
F3	0	0.513952685404398	0.33	0.126	0
F5	1.90486532789991e-270	0.187039173727699	0.12	0.009	6.6135019319357e-266
FA2H	0	0.238371632845874	0.182	0.033	0
FAAH	2.48482428523783e-59	-0.0902672149810445	0.09	0.144	8.62706143591723e-55
FAF2	3.09905494133386e-138	0.153563714104686	0.206	0.1	1.0759608850817e-133
FAM134A	4.89401706587046e-80	0.118274310442199	0.233	0.148	1.69915378509956e-75
FAM134B	6.34771696304913e-224	0.219782471348649	0.17	0.05	2.20386385240103e-219
FAM134C	0.000300989439200762	0.0154922791179775	0.152	0.137	1
FAM160A2	1.57548359739578e-41	0.0712992781749931	0.151	0.099	5.46992150179841e-37
FAM162A	1.31997566351296e-248	0.349659879012258	0.494	0.323	4.58282350615063e-244
FAM171A1	0	-0.287437280260764	0.072	0.249	0
FAM173A	9.99841057052092e-105	0.143393100413743	0.31	0.2	3.47134816597916e-100
FAM174A	4.2097979934567e-09	-0.038267377745443	0.139	0.161	0.000146159976534823
FAM174B	4.58330348395479e-51	0.0734553230753913	0.122	0.07	1.59127713659426e-46
FAM20B	1.33754348462038e-49	0.0718005393065131	0.116	0.067	4.64381722425348e-45
FAM210A	8.89252990339245e-89	0.112299403230791	0.112	0.048	3.08739745715883e-84
FAM210B	5.36565706774288e-49	0.0913048666444387	0.223	0.158	1.86290247734965e-44
FAM213A	1.36728262241394e-10	0.047564127995649	0.261	0.231	4.74706853675897e-06
FAM3A	4.93190785382323e-78	0.103345389574833	0.184	0.108	1.71230908776889e-73
FAM3B	0	-0.393181672062548	0.282	0.534	0
FAM3C	0	0.728646205840571	0.571	0.281	0
FAM3D	0	0.454736631948066	0.213	0.012	0
FAM8A1	1.3826065063096e-47	-0.0715751655961994	0.074	0.119	4.80027152925629e-43
FAM98B	1.29930199763784e-12	-0.0356424529894516	0.092	0.115	4.51104660559883e-08
FAR1	3.16756538615973e-107	0.13153050981667	0.174	0.087	1.0997470264208e-102
FAT1	2.66830016664794e-240	0.274392901112078	0.317	0.157	9.26407134858498e-236
FAXDC2	1.44789835353136e-59	-0.0630587386408151	0.055	0.101	5.02695829362552e-55
FCGRT	1.35391647729832e-20	-0.0881465213763589	0.465	0.494	4.70066261753204e-16
FDFT1	3.50934753999402e-55	0.199904971856428	0.413	0.337	1.21841037241052e-50
FGFR1	2.20174039143626e-211	-0.127910404834731	0.032	0.109	7.64422246502755e-207
FGFR2	0	-0.40797619005733	0.081	0.316	0
FGFR3	0	-0.73799466784715	0.119	0.486	0
FGFR4	1.80019128202869e-230	-0.194178829303698	0.1	0.22	6.25008411207542e-226
FGFRL1	5.50171132018087e-78	0.0829373583875541	0.1	0.043	1.9101391532536e-73
FIBCD1	1.55995261436394e-250	0.161618394364185	0.102	0.003	5.41599948181016e-246
FIS1	1.4944209188234e-06	-0.0540645005088114	0.706	0.678	0.0518847998806295
FKBP11	7.70638221129245e-13	-0.0587454869885195	0.146	0.173	2.67557883993863e-08
FKBP1A	9.47280238958727e-74	0.150672548279688	0.664	0.547	3.2888622616408e-69
FKBP8	1.53206284491294e-14	-0.127067278576209	0.503	0.494	5.31916899125322e-10
FKBP9	1.10407118952699e-165	0.171723271872396	0.229	0.108	3.83322476291875e-161
FLNA	4.10990478189518e-17	-0.0712143700313319	0.298	0.338	1.42691784122619e-12
FLRT2	0	-0.803691990502654	0.063	0.485	0
FMO5	2.52084269553014e-42	-0.0928512343217149	0.149	0.204	8.75211375461108e-38
FN1	0	0.544765291724067	0.158	0.022	0
FNDC3A	5.88508467885769e-24	0.0555692722193158	0.194	0.15	2.0432425496526e-19
FNDC3B	0	0.370901873588667	0.362	0.15	0
FOLR1	7.43897081583596e-251	-0.190675447569573	0.083	0.203	2.58273627755009e-246
FRAS1	0	-0.228588140384542	0.058	0.201	0
FSTL1	0.0651560416550423	0.00820997725182951	0.115	0.108	1
FURIN	5.21531009034698e-11	-0.0486854710338492	0.212	0.241	1.81070351026757e-06
FUT2	0	0.348614311064456	0.245	0.021	0
FUT3	0	0.331303726827681	0.267	0.056	0
FUT4	4.99592984114466e-67	0.0825351726242745	0.109	0.053	1.73453688154701e-62
FUT8	3.33342301462719e-70	0.0909567542582543	0.136	0.072	1.15733113644841e-65
FUZ	8.3923433542128e-54	-0.0763366043307833	0.077	0.125	2.91373768914914e-49
FXYD2	0	-3.20861203317365	0.172	0.901	0
FXYD3	0	3.20088242793046	0.789	0.093	0
FXYD5	0	1.6261005582285	0.717	0.097	0
FXYD6-FXYD2	0	-0.260543456341891	0.013	0.175	0
FZD5	1.18705128957148e-06	-0.0573835163284496	0.186	0.203	0.0412132337226323
FZD6	7.65619990097188e-35	-0.0659984234579487	0.094	0.136	2.65815604361843e-30
G0S2	2.11240324590261e-165	0.43387377030938	0.142	0.046	7.33405282944927e-161
G6PC3	0.000121769196573312	-0.0294612121897764	0.127	0.14	1
GAA	0.676273634354731	-0.00934510548798581	0.109	0.109	1
GABRE	5.30052783663981e-26	0.0778799260543158	0.13	0.093	1.84029025960298e-21
GABRP	0	0.581061691563795	0.187	0.009	0
GALC	2.17944689714467e-46	0.0683790623248653	0.107	0.06	7.56682168219657e-42
GALNT10	4.35616997542547e-204	0.223539001483425	0.175	0.058	1.51241865376797e-199
GALNT1	3.60830582131265e-07	0.0459476234791206	0.242	0.218	0.0125276769810154
GALNT11	0.00210296549641172	-0.0180868363631314	0.119	0.13	1
GALNT12	0	0.260633954146928	0.201	0.033	0
GALNT2	8.54414208622389e-118	0.144728140991565	0.202	0.105	2.96644069091607e-113
GALNT3	0	0.511436599165554	0.485	0.21	0
GALNT5	0	0.448782352786919	0.238	0.005	0
GALNT7	0	0.340842426711805	0.272	0.049	0
GANAB	3.35781282976659e-48	0.0850551454715665	0.274	0.201	1.16579903636666e-43
GAPDH	0	1.35056398868688	0.984	0.919	0
GBA	1.91802335058713e-16	0.0363656754841654	0.121	0.091	6.65918527090346e-12
GCLC	1.76270195248645e-141	0.175664133467059	0.16	0.065	6.11992490883769e-137
GCNT3	0	0.792456608622318	0.39	0.032	0
GDE1	4.41811673815289e-191	0.201576941763896	0.258	0.124	1.5339259503193e-186
GDF15	1.54784235467361e-297	0.559202406161188	0.318	0.135	5.37395387119129e-293
GFPT1	0	0.593999652923687	0.447	0.135	0
GGCX	0.109069667516953	-0.0132416109068401	0.113	0.119	1
GGT1	1.71448754138767e-292	-0.247251614925786	0.112	0.255	5.95252929494385e-288
GGT6	2.93257952854471e-207	-0.179889241037004	0.105	0.22	1.01816228651544e-202
GGT7	5.05536608111479e-127	-0.126930646199538	0.09	0.172	1.75517254970225e-122
GHITM	7.47549725104802e-12	0.0506252864360313	0.493	0.44	2.59541789059136e-07
GINM1	9.33814025604125e-278	-0.279383646308854	0.179	0.333	3.24210891549496e-273
GJB1	1.21169130876524e-06	-0.0323748100000442	0.201	0.222	0.0420687105490205
GJB3	0	0.267265025051487	0.187	0.013	0
GLB1	0.366769264866615	-0.00106854623994077	0.137	0.133	1
GLG1	1.19371403486043e-97	0.141075508959617	0.267	0.167	4.14445575763192e-93
GLRB	0	-0.169640098276833	0.016	0.128	0
GLT8D1	0.0103312675395565	-0.0183244460844517	0.127	0.136	1
GMPS	6.71921056695837e-64	0.0945681723029895	0.147	0.084	2.33284271674228e-59
GNPTAB	4.62254573365087e-42	0.0688470441636055	0.104	0.061	1.60490165326625e-37
GNPTG	0.00271309693453253	0.00851008977153833	0.17	0.157	1
GNS	1.56501922701558e-14	0.0530239430531594	0.177	0.144	5.4335902542754e-10
GOLGA5	5.08169831788404e-110	0.131463646057023	0.164	0.079	1.76431483898616e-105
GOLIM4	6.03939865106629e-114	0.154394560131423	0.197	0.102	2.09681881766371e-109
GOLM1	0	0.801204207578098	0.601	0.236	0
GOLT1A	7.35137151427725e-90	0.104959796002506	0.109	0.045	2.55232267604192e-85
GOLT1B	1.10839465151487e-231	0.222537264992645	0.211	0.076	3.84823539059449e-227
GOSR1	2.27863391836271e-15	0.0382917771263063	0.215	0.177	7.9111891011635e-11
GOSR2	3.18262369990957e-48	0.0749101050736826	0.125	0.074	1.1049751223716e-43
GP2	0	-1.97358590095965	0.084	0.613	0
GPAA1	1.05539465594123e-08	-0.0600078469819675	0.313	0.335	0.000366422470596236
GPATCH2L	3.10378989993366e-37	0.0897636492795429	0.182	0.129	1.07760481535797e-32
GPC1	2.17951204159019e-12	0.0346775866020569	0.181	0.151	7.56704785719697e-08
GPD2	7.67592048568581e-136	0.129665924401584	0.157	0.064	2.66500283342526e-131
GPI	1.36334281247267e-241	0.288090077570801	0.355	0.19	4.73338991062386e-237
GPM6B	7.343174493594e-123	-0.0782200584591334	0.042	0.103	2.5494767524309e-118
GPR107	4.73669738357135e-62	0.0822168740126547	0.123	0.066	1.64453396460214e-57
GPR108	3.79767681211653e-24	-0.101537514054069	0.256	0.296	1.31851541239874e-19
GPR110	0	0.33438196548651	0.161	0.001	0
GPR125	0.019872944871847	0.0137463030294113	0.108	0.1	1
GPR126	1.12999720270483e-64	0.0885585408413993	0.124	0.066	3.92323728807091e-60
GPR137	7.00675180593965e-18	0.0384964472068657	0.12	0.09	2.43267415950419e-13
GPR137B	2.94654850391129e-108	0.100332340843666	0.1	0.033	1.02301217507296e-103
GPR160	0	0.274378786123943	0.214	0.038	0
GPR35	0	0.19386412199607	0.135	0.005	0
GPR56	0	0.300930918452096	0.259	0.082	0
GPRC5A	0	1.55598516618623	0.652	0.069	0
GPRC5B	4.68969516999789e-126	-0.179168476315536	0.166	0.267	1.62821526607157e-121
GPRC5C	6.72422741595809e-199	0.213689923980683	0.294	0.15	2.33458451654649e-194
GRAMD1A	6.52173171165422e-249	0.31662179487989	0.23	0.086	2.26428003296923e-244
GRAMD1C	5.69631185802488e-36	-0.0549379313206092	0.064	0.101	1.97770251398766e-31
GRAMD3	1.64274726886044e-50	0.0759398931086643	0.114	0.065	5.70345424275656e-46
GRINA	2.20307959964335e-104	0.144729441666369	0.285	0.178	7.64887206200174e-100
GRN	4.08302840377411e-288	0.398064381189758	0.601	0.395	1.41758663150633e-283
GSG1	0	-0.17964192561143	0.005	0.117	0
GSPT1	4.36940143545862e-194	0.213164536713232	0.338	0.184	1.51701248437688e-189
GTF3C3	1.39237929030387e-40	0.0597631945432982	0.1	0.058	4.834201658006e-36
GULP1	0	0.460427254192185	0.272	0.046	0
GUSB	0.751087881906354	-0.0102137904678834	0.182	0.179	1
GYPC	0	-0.819384329480627	0.111	0.562	0
HBEGF	7.31881618456325e-122	0.157139300602202	0.181	0.085	2.54101979111851e-117
HBS1L	0.0234772539182026	-0.00904916307397918	0.094	0.101	1
HEG1	0	-0.682897847341795	0.053	0.386	0
HELZ	9.00224632277994e-10	-0.0388296249032705	0.15	0.174	3.12548990080597e-05
HEPH	3.63547191417225e-283	0.178489506779577	0.113	0.003	1.26219949388146e-278
HERPUD2	0.000124104607200585	0.0233264163188163	0.151	0.136	1
HEXA	1.02969850512813e-11	0.0295664794925458	0.23	0.196	3.57501023995436e-07
HEXB	1.08696982387639e-186	-0.323658447842201	0.337	0.46	3.77385053151642e-182
HGSNAT	1.8407866970361e-83	-0.142966489692585	0.185	0.267	6.39102733343963e-79
HHLA2	0	0.221068298594919	0.145	0.006	0
HIAT1	0.0124778116980762	0.0114475724444707	0.1	0.091	1
HIATL1	2.57920774871567e-15	0.0367447197012197	0.117	0.09	8.95475138276595e-11
HIGD1A	5.26621846290328e-107	0.194078094787003	0.425	0.307	1.82837838813539e-102
HIGD2A	0.450415729768809	-0.0255959839555022	0.617	0.581	1
HILPDA	4.92734934735175e-123	0.195203068820335	0.109	0.036	1.71072641990705e-118
HIPK1	2.49115457228171e-14	-0.056623176542999	0.189	0.221	8.64903955950487e-10
HIPK2	6.99472808252124e-09	-0.0426223553567922	0.25	0.277	0.000242849964297055
HIPK3	0.00191640844707119	0.00842344908633452	0.179	0.164	1
HLA-A	0	1.25869700363276	0.977	0.86	0
HLA-B	0	0.891371300826878	0.956	0.89	0
HLA-C	0	0.867315826701385	0.957	0.88	0
HLA-DMA	3.77219755964276e-93	0.187933776661575	0.286	0.188	1.30966927073237e-88
HLA-DPA1	3.52622687938085e-62	0.195937091010811	0.309	0.223	1.22427071025224e-57
HLA-DPB1	1.32888424893962e-203	-0.261378459532811	0.288	0.442	4.61375322389346e-199
HLA-DQB1	9.86883320175143e-191	0.264368684496303	0.239	0.106	3.42636019931608e-186
HLA-DRA	4.81154093222948e-170	0.394023232451218	0.574	0.413	1.67051889626075e-165
HLA-DRB1	0	0.664855082205295	0.548	0.302	0
HLA-DRB5	9.38579015118539e-203	0.383405706046008	0.12	0.024	3.25865248259005e-198
HLA-E	0	0.572771306488149	0.806	0.539	0
HLA-F	0	0.398089683145652	0.364	0.122	0
HM13	1.13585505558325e-186	0.231740671134572	0.379	0.228	3.94357516747947e-182
HMGCR	1.07288818486243e-173	0.17758949682083	0.168	0.061	3.72496048902388e-169
HMOX2	8.95309910119481e-92	0.121705187368737	0.236	0.143	3.10842647694383e-87
HNRNPK	2.05053468374086e-60	-0.17899603976403	0.83	0.775	7.11925136847989e-56
HNRNPU	1.13777486575195e-155	0.295825242221002	0.649	0.494	3.9502405564042e-151
HPS3	9.61982507277278e-70	0.0871270689376215	0.113	0.055	3.33990706701598e-65
HS2ST1	2.47661297832487e-48	0.0692669547481798	0.111	0.063	8.59855259944611e-44
HS6ST1	4.76115223446721e-82	-0.0877784066531721	0.083	0.147	1.65302444428467e-77
HSD11B2	8.86931589956016e-182	0.161687229848628	0.122	0.028	3.07933778716829e-177
HSD17B12	8.61821318565476e-109	0.16365501694796	0.343	0.228	2.99215743592748e-104
HSD17B2	3.08014452185839e-44	0.191017701661067	0.323	0.257	1.06939537654402e-39
HSD17B7	3.53209180805891e-117	0.118530618690219	0.129	0.051	1.22630695483997e-112
HSD3B7	0.177505137524712	-0.0136961919313426	0.12	0.124	1
HSP90AA1	8.01467567521587e-28	0.383785096714764	0.97	0.944	2.7826152476782e-23
HSP90AB1	0	1.28884594355872	0.942	0.87	0
HSP90B1	0	0.652404388819704	0.78	0.633	0
HSPA8	7.4621058760334e-227	0.531860652027156	0.762	0.652	2.59076853910004e-222
HSPD1	0	0.642592614574551	0.672	0.449	0
HSPG2	3.81080282521719e-125	0.169554217756325	0.333	0.208	1.32307263288716e-120
HTATIP2	0	0.591449769637333	0.492	0.13	0
HTRA2	2.26829401403701e-09	-0.0381427429626138	0.104	0.123	7.87528998733509e-05
HTT	2.78054508965015e-25	0.0497826885485973	0.104	0.07	9.65377449675635e-21
HYAL2	7.2891621289984e-16	-0.0939911212217974	0.156	0.185	2.53072419956695e-11
HYOU1	5.29014982447833e-250	0.230111928485819	0.213	0.072	1.83668711756063e-245
ICA1	0	0.32936957405324	0.314	0.088	0
ICAM1	0.266511252844462	-0.141317560349412	0.1	0.1	1
